"Return Reason","Return Reason"
"Return Resolution","Return Resolution"
Condition,Condition
"Product SKU","Product SKU"
Quantity,Quantity
"Product Price","Product Price"
"Refunded Amount","Refunded Amount"
"Advanced Reporting | Orders & Returns","Advanced Reporting | Orders & Returns"
"Please Select Month.","Please Select Month."
"Order Number","Order Number"
"Created Date","Created Date"
"Order Value","Order Value"
"Total Refunded","Total Refunded"
"Commission Percentage","Commission Percentage"
"Commission Amount","Commission Amount"
"Marketplace Fee Percentage","Marketplace Fee Percentage"
"Marketplace Fee Amount","Marketplace Fee Amount"
"Cancellation Fee Percentage","Cancellation Fee Percentage"
"Cancellation Fee","Cancellation Fee"
"GST Amount","GST Amount"
"Net Payable","Net Payable"
Status,Status
"Purchase Order Id","Purchase Order Id"
"Invoice ID","Invoice ID"
"Service Tax Amount","Service Tax Amount"
"Paid Date","Paid Date"
"Commission Fee","Commission Fee"
"Marketplace Fee","Marketplace Fee"
"Shipping Fee","Shipping Fee"
Total,Total
Pending,Pending
Paid,Paid
Partial,Partial
"Advanced Reporting | Transactions & Commissions","Advanced Reporting | Transactions & Commissions"
"We can't get the order instance right now.","We can't get the order instance right now."
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Update Qty's"
Refund,Refund
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Invalid parent block for this block","Invalid parent block for this block"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total Due","Total Due"
" [deleted]"," [deleted]"
Edit,Edit
Subtotal,Subtotal
"Shipping & Handling","Shipping & Handling"
"Discount (%1)","Discount (%1)"
Discount,Discount
"Grand Total","Grand Total"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Submit Invoice"
"Custom Value","Custom Value"
"Order # %1","Order # %1"
"The order has been canceled.","The order has been canceled."
"The order has could not been canceled.","The order has could not been canceled."
"This order no longer exists.","This order no longer exists."
"Cancelled Orders","Cancelled Orders"
"Completed Orders","Completed Orders"
"The order has been confirmed.","The order has been confirmed."
"The order could not confirm.","The order could not confirm."
"Credit Memos","Credit Memos"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"You need to manage shipping amount manually.","You need to manage shipping amount manually."
"Failed to create credit memo.","Failed to create credit memo."
%1,%1
"Cannot create credit memo as there are no items to generate.","Cannot create credit memo as there are no items to generate."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"The order no longer exists.","The order no longer exists."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"The order status changed to delivered.","The order status changed to delivered."
"The order status cannot be changed to delivered.","The order status cannot be changed to delivered."
"Vendor Order Id","Vendor Order Id"
"Purchase Date","Purchase Date"
"Ship To Name","Ship To Name"
"Bill To Name","Bill To Name"
"Cancellation Fee","Cancellation Fee"
"Grand Total","Grand Total"
Status,Status
"Total Refunded","Total Refunded"
"Ship to Name","Ship to Name"
"Vendor order status changed to delivered.","Vendor order status changed to delivered."
"Vendor order status cannot be changed to delivered.","Vendor order status cannot be changed to delivered."
"Active Orders","Active Orders"
"In Progress Orders","In Progress Orders"
"The order status changed to in transit.","The order status changed to in transit."
"The order status cannot be changed to in transit","The order status cannot be changed to in transit"
"You are not allowed to use requested feature, Please contact Marketplace Admin in case any query.","You are not allowed to use requested feature, Please contact Marketplace Admin in case any query."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
Invoices,Invoices
"New Invoice","New Invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","We can't send the shipment right now."
"Negative or decimal quantities are not allowed for invoice.","Negative or decimal quantities are not allowed for invoice."
"Cannot update item quantity.","Cannot update item quantity."
"Failed to upload invoice.","Failed to upload invoice."
"Specified order does not found.","Specified order does not found."
"Supplier Details","Supplier Details"
"Name: %1","Name: %1"
"Address: %1","Address: %1"
"Sr No","Sr No"
"Tracking Number","Tracking Number"
"Order Id","Order Id"
"RTS Done on","RTS Done on"
Notes,Notes
"Pickup in time:","Pickup in time:"
_____________________________,_____________________________
"Total Items picked:","Total Items picked:"
"Pickup out time:","Pickup out time:"
"FE Name:","FE Name:"
"Seller Name:","Seller Name:"
"FE Signature:","FE Signature:"
"Seller Signature:","Seller Signature:"
"This is a system generated document","This is a system generated document"
"Please select order(s).","Please select order(s)."
"%1 Order Confirmed successfully.","%1 Order Confirmed successfully."
"%1 Order(s) canceled.","%1 Order(s) canceled."
"The order status changed to packed.","The order status changed to packed."
